DATAYEAR,MONTH,UTILITYNUMBER,NETSUMMERCAPACITY(MW),NETWINTERCAPACITY(MW),NAMEPLATECAPACITY(MW),is_coal,is_geothermal,is_hydroelectric,is_natural_gas,is_nuclear,is_oil,is_other/unreported,is_solar,is_wind,MW_COAL,MW_GEOTHERMAL,MW_HYDROELECTRIC,MW_NATURAL_GAS,MW_NUCLEAR,MW_OIL,MW_OTHER,MW_SOLAR,MW_WIND,TOTALREVENUE,TOTALSALES,TOTALCUSTOMERS
2016,1,9191,2738.2000000000003,2738.2000000000003,2738.2000000000003,0.0,0.0,0.8545454545454545,0.10909090909090909,0.0,0.03636363636363636,0.0,0.0,0.0,0.0,0.0,2007.5999999999997,725.1999999999999,0.0,5.4,0.0,0.0,0.0,95413.97699999997,1171296.1480000014,525422
2016,1,9216,591.4000000000001,591.4000000000001,591.4000000000001,0.0,0.0,0.5,0.4642857142857143,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,42.4,526.0,0.0,23.0,0.0,0.0,0.0,27710.0,208307.0,153027
2016,1,9231,200.0,200.0,200.0,0.3333333333333333,0.0,0.0,0.2222222222222222,0.0,0.4444444444444444,0.0,0.0,0.0,93.0,0.0,0.0,39.0,0.0,68.0,0.0,0.0,0.0,10677.168,83702.75800000002,56919
2016,1,9273,3192.5,3192.5,3192.5,0.36,0.0,0.0,0.36,0.0,0.28,0.0,0.0,0.0,2376.5,0.0,0.0,764.0,0.0,52.0,0.0,0.0,0.0,110046.66699999994,1254161.4899999993,485942
2016,1,9324,4684.5,4684.5,4684.5,0.043478260869565216,0.0,0.8913043478260869,0.0,0.043478260869565216,0.0,0.0,0.021739130434782608,0.0,2600.0,0.0,12.999999999999995,0.0,2069.0,0.0,0.0,2.5,0.0,139955.1660000001,1623426.5270000007,588804
2016,1,9417,2965.3999999999996,2965.3999999999996,2965.3999999999996,0.16666666666666666,0.0,0.0,0.4722222222222222,0.0,0.3333333333333333,0.0,0.0,0.027777777777777776,1369.9,0.0,0.0,1113.4,0.0,282.40000000000003,0.0,0.0,199.7,117345.0,1278164.0,489832
2016,1,9617,3847.9999999999995,3847.9999999999995,3847.9999999999995,0.11764705882352941,0.0,0.0,0.5294117647058824,0.0,0.35294117647058826,0.0,0.0,0.0,1252.0,0.0,0.0,1798.0,0.0,798.0,0.0,0.0,0.0,98514.936,1021083.1919999999,450135
2016,1,9645,87.0,87.0,87.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,2667.244,34973.998,19132
2016,1,9726,420.0,420.0,420.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,114245.83,895348.4669999998,900085
2016,1,9996,717.3,717.3,717.3,0.3,0.0,0.0,0.5,0.0,0.2,0.0,0.0,0.0,386.0,0.0,0.0,229.3,0.0,102.0,0.0,0.0,0.0,16988.0,181405.0,64440
2016,1,10000,5381.000000000001,5381.000000000001,5381.000000000001,0.27586206896551724,0.0,0.0,0.3103448275862069,0.0,0.3103448275862069,0.034482758620689655,0.0,0.06896551724137931,4083.7000000000003,0.0,0.0,772.8000000000001,0.0,375.0,1.0,0.0,148.5,128597.929,1270046.667,529131
2016,1,10005,992.0,992.0,992.0,0.0,0.0,0.0,0.875,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,989.0,0.0,3.0,0.0,0.0,0.0,79328.772,815887.27,324686
2016,1,10071,141.0,141.0,141.0,0.0,0.0,0.0,0.0,0.0,0.8,0.06666666666666667,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,90.4,26.6,24.0,0.0,11555.728999999996,35405.297000000006,33205
2016,1,10171,3463.5,3463.5,3463.5,0.3684210526315789,0.0,0.15789473684210525,0.47368421052631576,0.0,0.0,0.0,0.0,0.0,2596.0,0.0,31.5,836.0,0.0,0.0,0.0,0.0,0.0,158611.98900000003,1876891.0,546610
2016,1,10210,61.9,61.9,61.9,0.0,0.0,0.7333333333333333,0.0,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,38.89999999999999,0.0,0.0,23.0,0.0,0.0,0.0,1558.0570000000005,16259.190999999997,7715
2016,1,10433,75.6,75.6,75.6,0.0,0.0,0.16666666666666666,0.0,0.0,0.6666666666666666,0.05555555555555555,0.0,0.1111111111111111,0.0,0.0,33.599999999999994,0.0,0.0,33.0,0.0,0.0,9.0,1791.0,10805.0,5935
2016,1,10451,15.199999999999998,15.199999999999998,15.199999999999998,0.0,0.0,0.0,0.0,0.0,0.20833333333333334,0.0,0.0,0.7916666666666666,0.0,0.0,0.0,0.0,0.0,10.5,0.0,0.0,4.699999999999998,722.0,1831.0,1267
2016,1,10596,5.8,5.8,5.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,0.0,0.0,0.0,224.0,1375.0,1206
2016,1,11018,464.6000000000001,464.6000000000001,464.6000000000001,0.0,0.0,0.0,0.7333333333333333,0.0,0.13333333333333333,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,458.4000000000001,0.0,4.8,0.0,0.0,1.4,20471.356000000007,281083.0,135522
2016,1,11118,33.300000000000004,33.300000000000004,33.300000000000004,0.0,0.0,0.42857142857142855,0.07142857142857142,0.0,0.5,0.0,0.0,0.0,0.0,0.0,19.1,1.6,0.0,12.600000000000001,0.0,0.0,0.0,1607.6169999999997,15689.242,6238
2016,1,11135,21.1,21.1,21.1,0.0,0.0,0.5714285714285714,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,13.5,0.0,0.0,0.0,0.0,0.0,3133.0,38060.0,19569
2016,1,11204,27.6,27.6,27.6,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285,0.0,0.0,0.0,24.8,0.0,0.0,0.0,1.8,1.0,0.0,3926.4330000000004,55676.23599999999,8121
2016,1,11208,7367.100000000002,7367.100000000002,7367.100000000002,0.024691358024691357,0.0,0.43209876543209874,0.35802469135802467,0.0,0.0,0.0,0.16049382716049382,0.024691358024691357,1800.0,0.0,1908.3000000000002,3435.6999999999994,0.0,0.0,0.0,38.099999999999994,185.0,276723.693,1893855.9639999995,1415192
